2017-01-05 13:23:36 | ::1 | /phpk8/index.php |[SQL错误：1146]SQLState:42S02@@ErrorInfo:Table 'test_a.pre_testdd' doesn't exist@@SQL:select count(*) as num from `pre_testdd` 
2017-01-05 13:23:36 | ::1 | /phpk8/index.php |[错误代码：提示(E_NOTICE)]Undefined variable: traceTr
2017-01-05 13:24:22 | ::1 | /phpk8/index.php |[SQL错误：1146]SQLState:42S02@@ErrorInfo:Table 'test_a.pre_testdd' doesn't exist@@SQL:select count(*) as num from `pre_testdd` 
2017-01-05 13:24:22 | ::1 | /phpk8/index.php |[错误代码：提示(E_NOTICE)]Undefined variable: traceTr
2017-01-05 13:24:53 | ::1 | /phpk8/index.php |[SQL错误：1146]SQLState:42S02@@ErrorInfo:Table 'test_a.pre_testdd' doesn't exist@@SQL:select count(*) as num from `pre_testdd` 
2017-01-05 13:25:54 | ::1 | /phpk8/index.php |[SQL错误：1146]SQLState:42S02@@ErrorInfo:Table 'test_a.pre_testdd' doesn't exist@@SQL:select count(*) as num from `pre_testdd` 
2017-01-05 13:26:12 | ::1 | /phpk8/index.php |[SQL错误：1146]SQLState:42S02@@ErrorInfo:Table 'test_a.pre_testdd' doesn't exist@@SQL:select count(*) as num from `pre_testdd` 
2017-01-05 13:26:20 | ::1 | /phpk8/index.php |[SQL错误：1146]SQLState:42S02@@ErrorInfo:Table 'test_a.pre_testdd' doesn't exist@@SQL:select count(*) as num from `pre_testdd` 
2017-01-05 13:33:10 | ::1 | /phpk8/index.php |[SQL错误：1146]SQLState:42S02@@ErrorInfo:Table 'test_a.pre_testdd' doesn't exist@@SQL:select count(*) as num from `pre_testdd` 
2017-01-05 16:39:48 | ::1 | /phpk8/index.php |[SQL错误：1146]SQLState:42S02@@ErrorInfo:Table 'test_a.pre_testdd' doesn't exist@@SQL:select count(*) as num from `pre_testdd` 
2017-01-05 16:39:51 | ::1 | /phpk8/index.php |[SQL错误：1146]SQLState:42S02@@ErrorInfo:Table 'test_a.pre_testdd' doesn't exist@@SQL:select count(*) as num from `pre_testdd` 
2017-01-05 16:42:27 | ::1 | /phpk8/index.php |[错误代码：404]控制器Ddd不存在
2017-01-05 16:42:34 | ::1 | /phpk8/index.php |[错误代码：404]控制器Ddd不存在
2017-01-05 16:42:37 | ::1 | /phpk8/index.php |[错误代码：404]控制器Ddd不存在
2017-01-05 16:42:55 | ::1 | /phpk8/index.php |[代码错误：16行]文件：/Users/tangtao/Sites/phpk8/app/home/controller/IndexController.class.php第16行错误提示：Call to undefined method app\home\controller\IndexController::displayss()
2017-01-05 16:43:08 | ::1 | /phpk8/index.php |[错误代码：404]模板文件：app/home/view/fasdfasd不存在!
